,Unnamed: 0,anime_id,title,type,source,episodes,airing,rating,score,rank,watched_by,members,favorites,producer,licensor,studio,genre,duration_min,aired_start,aired_end
2519,2519,4903,Kyou no 5 no 2 (TV),TV,Manga,13,False,PG-13 - Teens 13 or older,7.27,2527.0,2278,26459,36,"Starchild Records, TV Tokyo Music",,Xebec,"Comedy, Ecchi, School, Seinen",23,2008-10-06,2009-12-29
2520,2520,977,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,OVA,Original,1,False,Rx - Hentai,5.51,,4753,5379,14,,Media Blasters,Phoenix Entertainment,"Action, Mecha, Hentai, Sci-Fi, Yaoi",45,1996-12-18,1996-12-18
2521,2521,14175,Hanasaku Iroha: Home Sweet Home,Movie,Original,1,False,PG-13 - Teens 13 or older,7.96,597.0,1557,48569,49,"Sotsu, Lantis, Infinite","NIS America, Inc.",P.A. Works,"Slice of Life, Comedy, Drama",66,2013-03-09,2013-03-09
2522,2522,6165,White Album 2nd Season,TV,Visual novel,13,False,PG-13 - Teens 13 or older,6.98,3659.0,2090,30644,48,,,Seven Arcs,"Drama, Harem, Music, Romance",25,2009-10-03,2009-12-24
2523,2523,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,Manga,1,False,PG-13 - Teens 13 or older,9.04,11.0,826,105458,1395,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",,Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",110,2013-07-06,2013-07-06
2524,2524,28149,Nihon Animator Mihonichi,ONA,Original,35,False,R+ - Mild Nudity,7.5,1640.0,2463,23284,68,Dwango,,"Khara, Trigger","Action, Dementia, Ecchi, Fantasy, Mecha, Military, Music, School, Sci-Fi, Space, Supernatural",7,2014-11-07,2015-10-09
2525,2525,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,Visual novel,1,False,PG-13 - Teens 13 or older,8.58,75.0,232,282422,1417,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",Funimation,White Fox,"Sci-Fi, Drama",90,2013-04-20,2013-04-20
2526,2526,2035,Eikoku Koi Monogatari Emma: Molders-hen,TV,Manga,12,False,G - All Ages,7.99,565.0,3070,14958,70,,Nozomi Entertainment,Ajia-Do,"Slice of Life, Romance, Historical, Drama, Seinen",25,2007-04-17,2007-07-03
2527,2527,1734,Ajimu: Kaigan Monogatari,ONA,Original,4,False,PG-13 - Teens 13 or older,6.44,5833.0,3630,10332,19,,,Actas,"Comedy, Drama, Romance, School",28,2001-06-15,2002-02-24
2528,2528,320,A Kite,OVA,Original,2,False,Rx - Hentai,6.66,,1946,34622,143,"Green Bunny, BEAM Entertainment",Media Blasters,Arms,"Action, Hentai, Police, Drama",26,1998-02-25,1998-10-25
2529,2529,5258,Hajime no Ippo: New Challenger,TV,Manga,26,False,PG-13 - Teens 13 or older,8.73,42.0,663,126037,1074,"VAP, Kodansha, Nippon Television Network",,Madhouse,"Comedy, Sports, Drama, Shounen",23,2009-01-07,2009-07-01
2530,2530,17831,Inu to Hasami wa Tsukaiyou,TV,Light novel,12,False,PG-13 - Teens 13 or older,6.67,4886.0,980,86491,173,"Avex Entertainment, DLE, Enterbrain, Studio Mausu, Xing",Sentai Filmworks,Gonzo,"Comedy, Supernatural",24,2013-07-02,2013-09-17
2531,2531,10110,Mayo Chiki!,TV,Light novel,13,False,R+ - Mild Nudity,7.48,1699.0,260,263531,1499,"Starchild Records, Media Factory, TBS, DAX Production, PRA, RAY",Sentai Filmworks,feel.,"Harem, Comedy, Romance, Ecchi, School",24,2011-07-08,2011-09-30
2532,2532,30127,Danchigai,TV,4-koma manga,12,False,PG-13 - Teens 13 or older,6.63,5052.0,1449,54616,66,"DAX Production, Dream Creation",,Creators in Pack,"Comedy, Slice of Life",3,2015-07-10,2015-09-25
2533,2533,408,Final Fantasy VII: Last Order,Special,Game,1,False,PG-13 - Teens 13 or older,7.42,1927.0,1476,52990,138,"Sony Pictures Entertainment, Square Enix",,Madhouse,"Action, Adventure, Drama, Fantasy, Sci-Fi",25,2005-09-14,2005-09-14
2534,2534,14349,Little Witch Academia,Movie,Original,1,False,PG-13 - Teens 13 or older,7.96,601.0,412,185095,1020,"Half H.P Studio, Ultra Super Pictures",,Trigger,"Adventure, Comedy, Fantasy, Magic, School",26,2013-03-02,2013-03-02
2535,2535,1109,Monster Extra,Special,Manga,1,False,R - 17+ (violence & profanity),6.74,4591.0,4226,7218,11,VAP,Viz Media,Madhouse,"Drama, Horror, Mystery, Seinen",24,2004-09-21,2004-09-21
2536,2536,5042,Kiss x Sis,OVA,Manga,12,False,R+ - Mild Nudity,7.19,2849.0,471,171735,977,,,feel.,"Comedy, Ecchi, Harem, Romance, School, Seinen",24,2008-12-22,2015-04-06
2537,2537,336,Ginyuu Mokushiroku Meine Liebe,TV,Visual novel,13,False,PG-13 - Teens 13 or older,6.5,5600.0,3631,10316,31,Rondo Robe,,Bee Train,"Fantasy, Shoujo",24,2004-11-04,2005-02-03
